file                bytes_processed  p_value        status  last_ok      final
------------------  ---------------  -------------  ------  -----------  -----
0_1_2_4_3_15.log    1.750000e+10     3.270000e-12   fail    7.000000e+9  -    
0_1_2_5_2_4.log     7.000000e+9      5.390000e-12   fail    3.000000e+9  -    
0_1_2_5_1_29.log    8.500000e+9      7.620000e-15   fail    3.000000e+9  -    
0_1_2_3_4_17.log    7.000000e+9      2.210000e-11   fail    2.000000e+9  -    
1_0_2_4_3_17.log    6.000000e+9      1.820000e-15   fail    2.000000e+9  -    
1_0_2_2_5_4.log     5.000000e+9      2.400000e-11   fail    1.750000e+9  -    
0_1_2_6_2_13.log    5.000000e+9      1.520000e-12   fail    1.750000e+9  -    
1_0_2_3_4_15.log    8.500000e+9      3.350000e-15   fail    1.750000e+9  -    
1_0_2_3_5_14.log    3.000000e+9      2.490000e-11   fail    1.500000e+9  -    
1_0_2_5_2_28.log    4.000000e+9      1.340000e-11   fail    1.250000e+9  -    
0_1_2_3_5_18.log    3.000000e+9      2.450000e-13   fail    1.250000e+9  -    
1_0_2_1_5_29.log    6.000000e+9      2.140000e-13   fail    1.250000e+9  -    
0_1_2_5_3_14.log    5.000000e+9      4.180000e-14   fail    1.250000e+9  -    
0_1_2_4_1_5.log     4.000000e+9      4.970000e-15   fail    1.250000e+9  -    
1_0_2_6_2_19.log    3.000000e+9      3.260000e-11   fail    1.000000e+9  -    
0_1_2_2_5_28.log    2.000000e+9      1.020000e-11   fail    1.000000e+9  -    
1_0_2_1_4_5.log     4.000000e+9      2.810000e-11   fail    7.190000e+8  -    
0_1_2_2_6_19.log    3.000000e+9      3.750000e-11   fail    6.250000e+8  -    
1_0_1_1_4_13.log    1.500000e+9      7.030000e-12   fail    6.250000e+8  -    
0_1_2_9_2_9.log     1.250000e+9      4.750000e-11   fail    5.000000e+8  -    
1_0_2_5_3_18.log    1.500000e+9      2.410000e-12   fail    5.000000e+8  -    
0_1_2_1_4_27.log    1.000000e+9      5.890000e-13   fail    5.000000e+8  -    
1_0_2_2_6_13.log    1.250000e+9      1.090000e-11   fail    4.060000e+8  -    
0_1_2_4_7_6.log     1.250000e+9      7.610000e-12   fail    4.060000e+8  -    
1_0_2_9_2_23.log    2.000000e+9      1.670000e-12   fail    4.060000e+8  -    
0_1_2_1_7_19.log    1.000000e+9      3.400000e-15   fail    4.060000e+8  -    
0_1_2_7_4_26.log    8.750000e+8      4.580000e-11   fail    3.130000e+8  -    
1_0_2_2_9_9.log     7.190000e+8      3.180000e-11   fail    3.130000e+8  -    
0_1_0_5_6_21.log    7.190000e+8      2.810000e-11   fail    3.130000e+8  -    
1_0_2_7_4_6.log     1.000000e+9      2.030000e-11   fail    3.130000e+8  -    
1_0_2_1_7_13.log    7.190000e+8      1.940000e-11   fail    3.130000e+8  -    
1_0_1_1_6_10.log    1.750000e+9      5.270000e-12   fail    3.130000e+8  -    
1_0_2_7_1_19.log    7.190000e+8      1.810000e-12   fail    3.130000e+8  -    
1_0_2_4_7_26.log    1.500000e+9      6.820000e-15   fail    3.130000e+8  -    
1_0_2_5_1_3.log     7.190000e+8      1.920000e-13   fail    2.810000e+8  -    
1_0_0_6_1_10.log    7.190000e+8      9.890000e-12   fail    2.190000e+8  -    
1_0_1_5_6_21.log    1.000000e+9      1.830000e-13   fail    2.190000e+8  -    
0_1_2_1_5_3.log     7.190000e+8      3.140000e-14   fail    2.190000e+8  -    
1_0_2_4_1_27.log    6.250000e+8      7.480000e-15   fail    2.190000e+8  -    
0_1_2_7_1_13.log    8.750000e+8      6.340000e-15   fail    2.190000e+8  -    
0_1_0_7_6_15.log    7.190000e+8      7.180000e-12   fail    1.880000e+8  -    
0_1_0_1_4_13.log    8.750000e+8      3.540000e-12   fail    1.880000e+8  -    
1_0_0_4_1_13.log    6.250000e+8      2.620000e-11   fail    1.560000e+8  -    
0_1_2_2_9_23.log    6.250000e+8      2.250000e-13   fail    1.560000e+8  -    
0_1_2_10_5_19.log   5.000000e+8      1.960000e-13   fail    1.560000e+8  -    
0_1_0_9_8_19.log    4.060000e+8      4.620000e-16   fail    1.560000e+8  -    
0_1_1_6_1_10.log    4.060000e+8      2.630000e-11   fail    1.250000e+8  -    
0_1_2_14_3_9.log    4.060000e+8      9.650000e-12   fail    1.250000e+8  -    
1_0_2_1_8_30.log    5.000000e+8      4.790000e-13   fail    1.250000e+8  -    
0_1_2_8_1_30.log    4.060000e+8      1.220000e-13   fail    1.250000e+8  -    
0_1_2_11_9_13.log   4.060000e+8      8.930000e-15   fail    1.250000e+8  -    
0_1_2_17_3_28.log   1.880000e+8      4.920000e-11   fail    -            -    
1_0_2_9_11_13.log   1.250000e+8      4.890000e-11   fail    -            -    
0_1_2_11_12_9.log   1.560000e+8      4.710000e-11   fail    -            -    
0_1_2_15_11_20.log  1.250000e+8      3.870000e-11   fail    -            -    
0_1_2_2_22_7.log    2.500000e+8      3.610000e-11   fail    -            -    
1_0_2_13_11_29.log  1.560000e+8      3.410000e-11   fail    -            -    
1_0_2_11_13_3.log   1.250000e+8      3.260000e-11   fail    -            -    
0_1_1_4_1_13.log    1.560000e+8      2.590000e-11   fail    -            -    
0_1_2_14_13_8.log   2.500000e+8      2.540000e-11   fail    -            -    
1_0_1_9_11_16.log   1.560000e+8      2.400000e-11   fail    -            -    
0_1_2_12_11_23.log  1.560000e+8      2.340000e-11   fail    -            -    
1_0_2_12_11_9.log   1.250000e+8      2.340000e-11   fail    -            -    
0_1_2_22_2_25.log   2.500000e+8      2.100000e-11   fail    -            -    
1_0_2_11_15_20.log  1.250000e+8      1.940000e-11   fail    -            -    
0_1_2_11_12_7.log   1.880000e+8      1.690000e-11   fail    -            -    
1_0_1_1_15_15.log   1.250000e+8      1.680000e-11   fail    -            -    
0_1_1_10_3_2.log    2.500000e+8      1.650000e-11   fail    -            -    
0_1_2_12_9_4.log    1.880000e+8      1.510000e-11   fail    -            -    
0_1_2_3_14_23.log   1.560000e+8      1.440000e-11   fail    -            -    
0_1_2_5_10_13.log   2.190000e+8      1.380000e-11   fail    -            -    
1_0_2_11_9_19.log   2.190000e+8      9.260000e-12   fail    -            -    
0_1_2_13_14_24.log  1.250000e+8      9.210000e-12   fail    -            -    
1_0_1_9_8_19.log    3.130000e+8      8.850000e-12   fail    -            -    
1_0_2_17_7_1.log    1.250000e+8      7.310000e-12   fail    -            -    
0_1_1_15_1_15.log   1.560000e+8      7.050000e-12   fail    -            -    
0_1_2_7_17_11.log   1.250000e+8      5.210000e-12   fail    -            -    
1_0_1_7_6_15.log    1.560000e+8      4.880000e-12   fail    -            -    
1_0_2_15_11_12.log  1.250000e+8      4.690000e-12   fail    -            -    
0_1_2_1_8_2.log     4.060000e+8      3.110000e-12   fail    -            -    
1_0_2_23_2_4.log    1.250000e+8      2.330000e-12   fail    -            -    
1_0_2_14_13_24.log  1.250000e+8      2.180000e-12   fail    -            -    
1_0_2_12_11_7.log   1.880000e+8      2.020000e-12   fail    -            -    
0_1_2_9_12_28.log   1.560000e+8      1.820000e-12   fail    -            -    
0_1_2_14_9_5.log    2.190000e+8      1.700000e-12   fail    -            -    
1_0_2_9_12_4.log    1.250000e+8      1.510000e-12   fail    -            -    
0_1_2_9_11_19.log   2.190000e+8      1.420000e-12   fail    -            -    
