
=== All PRNGs ===
Rank | Params           | Last Pass | Last Test  | Last Iter   | Total All   | No Anom | P-Value    | Iters
-----|------------------|-----------|------------|-------------|-------------|---------|------------|-------
   1 | 0 1 0 1 15 15    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
   2 | 0 1 0 1 31 9     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
   3 | 0 1 0 3 20 17    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
   4 | 0 1 0 3 25 28    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
   5 | 0 1 0 5 16 14    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
   6 | 0 1 0 5 23 1     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
   7 | 0 1 0 5 27 12    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
   8 | 0 1 0 7 2 10     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
   9 | 0 1 0 9 4 22     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  10 | 0 1 0 9 5 21     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  11 | 0 1 0 9 8 19     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  12 | 0 1 0 9 11 16    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  13 | 0 1 0 9 23 4     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  14 | 0 1 0 9 23 29    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  15 | 0 1 0 11 3 29    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  16 | 0 1 0 11 5 26    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  17 | 0 1 0 13 3 7     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  18 | 0 1 0 15 7 23    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  19 | 0 1 0 15 7 25    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  20 | 0 1 0 17 11 4    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  21 | 0 1 0 17 15 11   | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  22 | 0 1 0 19 3 1     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  23 | 0 1 0 23 6 1     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  24 | 0 1 1 5 11 26    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  25 | 0 1 1 5 15 12    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  26 | 0 1 1 6 5 21     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  27 | 0 1 1 6 23 1     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  28 | 0 1 1 11 9 16    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  29 | 0 1 1 12 7 20    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  30 | 0 1 1 17 15 17   | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  31 | 0 1 1 20 3 17    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  32 | 0 1 1 23 1 5     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  33 | 0 1 1 23 7 1     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  34 | 0 1 2 1 4 27     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  35 | 0 1 2 1 5 3      | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  36 | 0 1 2 1 7 19     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  37 | 0 1 2 1 29 13    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  38 | 0 1 2 2 5 28     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  39 | 0 1 2 2 9 23     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  40 | 0 1 2 2 29 20    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  41 | 0 1 2 3 14 23    | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  42 | 0 1 2 4 1 5      | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
  43 | 0 1 2 4 3 15     | 1MB       | 2MB        | 1F 0S 0U    | 1F 0S 0U    |     108 | 1.0        |    12
