
=== All PRNGs ===
Rank | Params           | Last Pass | Last Test  | Last Iter   | Total All   | No Anom | P-Value    | Iters
-----|------------------|-----------|------------|-------------|-------------|---------|------------|-------
   1 | 0 1 0 5 27 12    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
   2 | 0 1 0 9 8 19     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
   3 | 0 1 0 15 7 25    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
   4 | 0 1 0 17 15 11   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
   5 | 0 1 1 6 5 21     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
   6 | 0 1 1 6 23 1     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
   7 | 0 1 1 7 13 25    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
   8 | 0 1 1 15 1 15    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
   9 | 0 1 1 15 17 11   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  10 | 0 1 1 20 3 17    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  11 | 0 1 1 23 1 5     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  12 | 0 1 1 25 3 28    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  13 | 0 1 1 27 5 16    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  14 | 0 1 2 3 4 17     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  15 | 0 1 2 4 7 6      | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  16 | 0 1 2 5 1 29     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  17 | 0 1 2 5 20 10    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  18 | 0 1 2 5 26 13    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  19 | 0 1 2 5 28 12    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  20 | 0 1 2 7 4 26     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  21 | 0 1 2 8 29 18    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  22 | 0 1 2 10 15 21   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  23 | 0 1 2 10 25 7    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  24 | 0 1 2 11 15 12   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  25 | 0 1 2 13 14 24   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  26 | 0 1 2 14 9 5     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  27 | 0 1 2 15 11 20   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  28 | 0 1 2 17 18 6    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  29 | 0 1 2 18 1 7     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  30 | 0 1 2 18 28 7    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  31 | 0 1 2 19 23 8    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  32 | 0 1 2 19 27 25   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  33 | 0 1 2 20 5 22    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  34 | 0 1 2 21 26 7    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  35 | 0 1 2 22 25 12   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  36 | 0 1 2 22 27 15   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  37 | 0 1 2 23 15 20   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  38 | 0 1 2 23 19 24   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  39 | 0 1 2 24 21 7    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  40 | 0 1 2 24 21 17   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  41 | 0 1 2 25 25 10   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  42 | 0 1 2 26 5 19    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  43 | 0 1 2 26 10 23   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  44 | 0 1 2 26 15 13   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  45 | 0 1 2 26 21 30   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  46 | 0 1 2 26 29 12   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  47 | 0 1 2 27 22 17   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  48 | 0 1 2 28 29 19   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  49 | 0 1 2 29 20 22   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  50 | 0 1 2 30 21 15   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  51 | 1 0 0 3 19 1     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  52 | 1 0 0 4 1 13     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  53 | 1 0 0 5 15 12    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  54 | 1 0 0 6 1 10     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  55 | 1 0 0 16 5 14    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  56 | 1 0 0 23 1 5     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  57 | 1 0 0 23 5 1     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  58 | 1 0 0 23 9 4     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  59 | 1 0 1 5 6 21     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  60 | 0 1 0 1 6 10     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  61 | 0 1 0 5 23 1     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  62 | 0 1 0 7 12 20    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  63 | 0 1 0 11 5 26    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  64 | 0 1 0 15 17 17   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  65 | 0 1 0 19 3 1     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  66 | 0 1 1 11 19 11   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  67 | 0 1 1 19 11 3    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  68 | 0 1 1 23 5 1     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  69 | 0 1 2 1 1 9      | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  70 | 0 1 2 2 5 28     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  71 | 0 1 2 2 9 23     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  72 | 0 1 2 2 22 7     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  73 | 0 1 2 3 5 18     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  74 | 0 1 2 5 27 26    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  75 | 0 1 2 9 31 22    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  76 | 0 1 2 10 5 19    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  77 | 0 1 2 10 26 9    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  78 | 0 1 2 10 28 27   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  79 | 0 1 2 12 11 23   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  80 | 0 1 2 12 11 25   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
  81 | 0 1 2 14 3 9     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 1U    |     465 | 1.0        |     9
