--- BEGIN: (bit_width=32, state_size=3)
(1, 4, 13): OK
(1, 6, 10): OK
(1, 10, 30): OK
(1, 15, 15): OK
(1, 23, 5): OK
(1, 31, 9): OK
(3, 10, 2): OK
(3, 20, 17): OK
(3, 25, 28): OK
(5, 6, 21): OK
(5, 16, 14): OK
(5, 23, 1): OK
(5, 27, 12): OK
(5, 27, 16): OK
(7, 2, 10): OK
(7, 6, 15): OK
(7, 12, 20): OK
(7, 23, 1): OK
(9, 4, 22): OK
(9, 5, 21): OK
(9, 8, 19): OK
(9, 11, 16): OK
(9, 23, 4): OK
(9, 23, 29): OK
(11, 3, 29): OK
(11, 5, 26): OK
(11, 19, 3): OK
(13, 3, 7): OK
(13, 7, 25): OK
(13, 20, 12): OK
(15, 2, 9): OK
(15, 5, 12): OK
(15, 7, 23): OK
(15, 7, 25): OK
(15, 17, 17): OK
(17, 11, 4): OK
(17, 15, 11): OK
(19, 3, 1): OK
(19, 11, 11): OK
(23, 6, 1): OK
--- END: (elapsed: 4812.09 seconds)
