--- BEGIN: (bit_width=32, state_size=2)
(1, 4, 4): OK
(1, 5, 26): OK
(1, 6, 18): OK
(1, 7, 14): OK
(1, 8, 21): OK
(1, 10, 25): OK
(1, 11, 18): OK
(1, 15, 5): OK
(1, 15, 27): OK
(1, 31, 30): OK
(1, 31, 31): OK
(2, 5, 21): OK
(2, 23, 11): OK
(2, 31, 1): OK
(3, 1, 20): OK
(3, 1, 23): OK
(3, 9, 4): OK
(3, 13, 12): OK
(3, 19, 11): OK
(3, 23, 21): OK
(3, 27, 7): OK
(4, 5, 23): OK
(4, 7, 3): OK
(4, 17, 9): OK
(5, 3, 26): OK
(5, 3, 31): OK
(5, 4, 6): OK
(5, 6, 1): OK
(5, 6, 27): OK
(5, 7, 12): OK
(5, 11, 2): OK
(5, 11, 17): OK
(5, 23, 11): OK
(6, 1, 15): OK
(6, 5, 17): OK
(7, 1, 1): OK
(7, 2, 22): OK
(7, 4, 10): OK
(7, 4, 17): OK
(7, 6, 17): OK
(7, 6, 18): OK
(7, 10, 16): OK
(7, 12, 8): OK
(7, 13, 15): OK
(7, 28, 3): OK
(7, 29, 3): OK
(8, 11, 9): OK
(8, 15, 21): OK
(9, 5, 16): OK
(9, 7, 21): OK
(9, 10, 6): OK
(9, 12, 5): OK
(9, 15, 5): OK
(9, 23, 1): OK
(9, 23, 10): OK
(9, 23, 11): OK
(9, 25, 3): OK
(10, 1, 15): OK
(10, 21, 13): OK
(11, 5, 10): OK
(11, 5, 23): OK
(11, 20, 16): OK
(13, 5, 16): OK
(13, 19, 6): OK
(13, 25, 2): OK
(14, 19, 11): OK
(15, 14, 21): OK
(16, 21, 3): OK
(17, 17, 3): OK
(17, 21, 10): OK
(18, 7, 1): OK
(18, 17, 7): OK
(20, 23, 9): OK
(21, 7, 8): OK
(21, 8, 4): OK
(21, 17, 5): OK
(22, 23, 3): OK
(23, 6, 6): OK
(23, 21, 4): OK
(25, 12, 1): OK
(25, 22, 3): OK
(26, 27, 5): OK
(28, 5, 11): OK
(28, 9, 1): OK
--- END: (elapsed: 2479.12 seconds)
