# Run started: 2025-09-20T09:55:17-07:00
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 6): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 14): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 16): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 9): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 4): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 8): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 2): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 1): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 7): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 3): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 13): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 15): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 11): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 5): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 12): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 10): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 20): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 18): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 17): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 22): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 26): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 21): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 27): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 25): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 24): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 23): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 28): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 19): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 31): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 30): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 29): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 32): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 33): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 35): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 37): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 40): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 34): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 36): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 38): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 39): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 42): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 41): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 45): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 46): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 43): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 47): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 48): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 44): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 49): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 50): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 55): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 54): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 53): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 56): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 52): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 51): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 57): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 58): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 60): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 62): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 59): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 61): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(0, 63): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 1): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 2): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 4): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 3): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 5): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 6): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 8): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 7): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 10): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 9): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 11): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 14): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 12): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 13): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 16): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 15): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 17): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 18): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 20): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 19): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 21): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 22): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 24): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 23): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 25): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(1, 26): NOT OK
