┌─────────┬────┬────┬───────────┬────────┐
│ (index) │ p0 │ p1 │     p     │ passed │
├─────────┼────┼────┼───────────┼────────┤
│    0    │ 10 │ 19 │    '1'    │   13   │
│    1    │ 7  │ 11 │  '0.995'  │   13   │
│    2    │ 11 │ 22 │  '0.994'  │   13   │
│    3    │ 11 │ 25 │  '0.992'  │   13   │
│    4    │ 14 │ 21 │  '0.983'  │   13   │
│    5    │ 15 │ 30 │  '0.983'  │   13   │
│    6    │ 8  │ 3  │  '0.98'   │   13   │
│    7    │ 14 │ 20 │  '0.976'  │   13   │
│    8    │ 13 │ 21 │  '0.971'  │   13   │
│    9    │ 16 │ 27 │  '0.964'  │   13   │
│   10    │ 18 │ 22 │  '0.964'  │   13   │
│   11    │ 22 │ 18 │  '0.962'  │   13   │
│   12    │ 22 │ 19 │  '0.958'  │   13   │
│   13    │ 10 │ 21 │  '0.956'  │   13   │
│   14    │ 17 │ 22 │  '0.95'   │   13   │
│   15    │ 9  │ 28 │  '0.948'  │   13   │
│   16    │ 22 │ 12 │  '0.947'  │   13   │
│   17    │ 9  │ 24 │  '0.945'  │   13   │
│   18    │ 9  │ 19 │  '0.94'   │   13   │
│   19    │ 19 │ 15 │  '0.94'   │   13   │
│   20    │ 14 │ 8  │  '0.932'  │   13   │
│   21    │ 15 │ 24 │  '0.925'  │   13   │
│   22    │ 20 │ 6  │  '0.924'  │   13   │
│   23    │ 15 │ 22 │  '0.919'  │   13   │
│   24    │ 4  │ 17 │  '0.917'  │   13   │
│   25    │ 20 │ 9  │  '0.91'   │   13   │
│   26    │ 22 │ 8  │  '0.906'  │   13   │
│   27    │ 4  │ 13 │  '0.901'  │   13   │
│   28    │ 9  │ 26 │  '0.898'  │   13   │
│   29    │ 7  │ 21 │  '0.895'  │   13   │
│   30    │ 11 │ 15 │  '0.895'  │   13   │
│   31    │ 21 │ 30 │  '0.895'  │   13   │
│   32    │ 8  │ 19 │  '0.891'  │   13   │
│   33    │ 13 │ 26 │  '0.891'  │   13   │
│   34    │ 22 │ 10 │  '0.877'  │   13   │
│   35    │ 8  │ 21 │  '0.875'  │   13   │
│   36    │ 16 │ 14 │  '0.87'   │   13   │
│   37    │ 12 │ 24 │  '0.865'  │   13   │
│   38    │ 9  │ 13 │  '0.861'  │   13   │
